Folder,Accuracy
1,hop length:512 n_mfcc:10,0.5131729667812142
2,hop length:512 n_mfcc:10,0.40427927927927926
3,hop length:512 n_mfcc:10,0.4410810810810811
4,hop length:512 n_mfcc:10,0.43434343434343436
5,hop length:512 n_mfcc:10,0.4893162393162393
6,hop length:512 n_mfcc:10,0.39611178614823817
7,hop length:512 n_mfcc:10,0.5035799522673031
8,hop length:512 n_mfcc:10,0.5297766749379652
9,hop length:512 n_mfcc:10,0.5514705882352942
1,hop length:1024 n_mfcc:10,0.5131729667812142
2,hop length:1024 n_mfcc:10,0.40315315315315314
3,hop length:1024 n_mfcc:10,0.4335135135135135
4,hop length:1024 n_mfcc:10,0.43434343434343436
5,hop length:1024 n_mfcc:10,0.48717948717948717
6,hop length:1024 n_mfcc:10,0.393681652490887
7,hop length:1024 n_mfcc:10,0.5047732696897375
8,hop length:1024 n_mfcc:10,0.532258064516129
9,hop length:1024 n_mfcc:10,0.5453431372549019
1,hop length:2048 n_mfcc:10,0.5143184421534936
2,hop length:2048 n_mfcc:10,0.40427927927927926
3,hop length:2048 n_mfcc:10,0.4281081081081081
4,hop length:2048 n_mfcc:10,0.43333333333333335
5,hop length:2048 n_mfcc:10,0.4861111111111111
6,hop length:2048 n_mfcc:10,0.40583232077764275
7,hop length:2048 n_mfcc:10,0.5095465393794749
8,hop length:2048 n_mfcc:10,0.5248138957816377
9,hop length:2048 n_mfcc:10,0.5551470588235294
1,hop length:512 n_mfcc:13,0.5418098510882016
2,hop length:512 n_mfcc:13,0.4436936936936937
3,hop length:512 n_mfcc:13,0.4594594594594595
4,hop length:512 n_mfcc:13,0.46464646464646464
5,hop length:512 n_mfcc:13,0.5534188034188035
6,hop length:512 n_mfcc:13,0.4374240583232078
7,hop length:512 n_mfcc:13,0.5417661097852029
8,hop length:512 n_mfcc:13,0.5607940446650124
9,hop length:512 n_mfcc:13,0.5563725490196079
1,hop length:1024 n_mfcc:13,0.5395189003436426
2,hop length:1024 n_mfcc:13,0.44594594594594594
3,hop length:1024 n_mfcc:13,0.46054054054054056
4,hop length:1024 n_mfcc:13,0.4676767676767677
5,hop length:1024 n_mfcc:13,0.5502136752136753
6,hop length:1024 n_mfcc:13,0.43377885783718106
7,hop length:1024 n_mfcc:13,0.5465393794749404
8,hop length:1024 n_mfcc:13,0.5533498759305211
9,hop length:1024 n_mfcc:13,0.5563725490196079
1,hop length:2048 n_mfcc:13,0.5441008018327605
2,hop length:2048 n_mfcc:13,0.44594594594594594
3,hop length:2048 n_mfcc:13,0.45837837837837836
4,hop length:2048 n_mfcc:13,0.47575757575757577
5,hop length:2048 n_mfcc:13,0.5470085470085471
6,hop length:2048 n_mfcc:13,0.43377885783718106
7,hop length:2048 n_mfcc:13,0.5334128878281623
8,hop length:2048 n_mfcc:13,0.5508684863523573
9,hop length:2048 n_mfcc:13,0.5526960784313726
1,hop length:512 n_mfcc:16,0.5647193585337915
2,hop length:512 n_mfcc:16,0.4988738738738739
3,hop length:512 n_mfcc:16,0.49405405405405406
4,hop length:512 n_mfcc:16,0.5050505050505051
5,hop length:512 n_mfcc:16,0.5395299145299145
6,hop length:512 n_mfcc:16,0.46537059538274606
7,hop length:512 n_mfcc:16,0.5513126491646778
8,hop length:512 n_mfcc:16,0.56575682382134
9,hop length:512 n_mfcc:16,0.5686274509803921
1,hop length:1024 n_mfcc:16,0.561282932416953
2,hop length:1024 n_mfcc:16,0.48761261261261263
3,hop length:1024 n_mfcc:16,0.5016216216216216
4,hop length:1024 n_mfcc:16,0.5070707070707071
5,hop length:1024 n_mfcc:16,0.5448717948717948
6,hop length:1024 n_mfcc:16,0.4629404617253949
7,hop length:1024 n_mfcc:16,0.5584725536992841
8,hop length:1024 n_mfcc:16,0.5607940446650124
9,hop length:1024 n_mfcc:16,0.5686274509803921
1,hop length:2048 n_mfcc:16,0.5624284077892325
2,hop length:2048 n_mfcc:16,0.49436936936936937
3,hop length:2048 n_mfcc:16,0.49405405405405406
4,hop length:2048 n_mfcc:16,0.49595959595959593
5,hop length:2048 n_mfcc:16,0.5373931623931624
6,hop length:2048 n_mfcc:16,0.456865127582017
7,hop length:2048 n_mfcc:16,0.545346062052506
8,hop length:2048 n_mfcc:16,0.56575682382134
9,hop length:2048 n_mfcc:16,0.5674019607843137
1,hop length:512 n_mfcc:19,0.5429553264604811
2,hop length:512 n_mfcc:19,0.48761261261261263
3,hop length:512 n_mfcc:19,0.4962162162162162
4,hop length:512 n_mfcc:19,0.5363636363636364
5,hop length:512 n_mfcc:19,0.5448717948717948
6,hop length:512 n_mfcc:19,0.48602673147023084
7,hop length:512 n_mfcc:19,0.545346062052506
8,hop length:512 n_mfcc:19,0.6364764267990074
9,hop length:512 n_mfcc:19,0.5551470588235294
1,hop length:1024 n_mfcc:19,0.5463917525773195
2,hop length:1024 n_mfcc:19,0.4864864864864865
3,hop length:1024 n_mfcc:19,0.5016216216216216
4,hop length:1024 n_mfcc:19,0.5393939393939394
5,hop length:1024 n_mfcc:19,0.5405982905982906
6,hop length:1024 n_mfcc:19,0.4848116646415553
7,hop length:1024 n_mfcc:19,0.5513126491646778
8,hop length:1024 n_mfcc:19,0.6389578163771712
9,hop length:1024 n_mfcc:19,0.5526960784313726
1,hop length:2048 n_mfcc:19,0.5383734249713631
2,hop length:2048 n_mfcc:19,0.4786036036036036
3,hop length:2048 n_mfcc:19,0.5016216216216216
4,hop length:2048 n_mfcc:19,0.5323232323232323
5,hop length:2048 n_mfcc:19,0.5373931623931624
6,hop length:2048 n_mfcc:19,0.4848116646415553
7,hop length:2048 n_mfcc:19,0.5572792362768496
8,hop length:2048 n_mfcc:19,0.6377171215880894
9,hop length:2048 n_mfcc:19,0.5649509803921569
1,hop length:512 n_mfcc:22,0.5315005727376861
2,hop length:512 n_mfcc:22,0.4786036036036036
3,hop length:512 n_mfcc:22,0.5070270270270271
4,hop length:512 n_mfcc:22,0.5404040404040404
5,hop length:512 n_mfcc:22,0.5662393162393162
6,hop length:512 n_mfcc:22,0.4957472660996355
7,hop length:512 n_mfcc:22,0.5775656324582339
8,hop length:512 n_mfcc:22,0.6339950372208437
9,hop length:512 n_mfcc:22,0.5649509803921569
1,hop length:1024 n_mfcc:22,0.5360824742268041
2,hop length:1024 n_mfcc:22,0.481981981981982
3,hop length:1024 n_mfcc:22,0.5113513513513513
4,hop length:1024 n_mfcc:22,0.5363636363636364
5,hop length:1024 n_mfcc:22,0.5694444444444444
6,hop length:1024 n_mfcc:22,0.5018226002430134
7,hop length:1024 n_mfcc:22,0.5739856801909308
8,hop length:1024 n_mfcc:22,0.6364764267990074
9,hop length:1024 n_mfcc:22,0.5686274509803921
1,hop length:2048 n_mfcc:22,0.5326460481099656
2,hop length:2048 n_mfcc:22,0.47297297297297297
3,hop length:2048 n_mfcc:22,0.4983783783783784
4,hop length:2048 n_mfcc:22,0.5262626262626262
5,hop length:2048 n_mfcc:22,0.5694444444444444
6,hop length:2048 n_mfcc:22,0.4933171324422843
7,hop length:2048 n_mfcc:22,0.5835322195704057
8,hop length:2048 n_mfcc:22,0.6327543424317618
9,hop length:2048 n_mfcc:22,0.571078431372549
